Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Strullu, L., Beaudoin, N., Thiébeau, P., Julier, B., Mary, B., Ruget, F., Ripoche, D., Rakotovololona, L., Louarn, G.","37073618900;15071436000;6506427742;57202989986;56235628300;6602167020;6507647940;57204691610;24605164500;","Simulation using the STICS model of C&amp;N dynamics in alfalfa from sowing to crop destruction",2020,"European Journal of Agronomy","112",,"125948","","",,6,"10.1016/j.eja.2019.125948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072780043&doi=10.1016%2fj.eja.2019.125948&partnerID=40&md5=1b29c6b09b8e10c08946fe07af77a087",Article,"Final","",Scopus,2-s2.0-85072780043
"Silva, F.A.M., Naudin, K., Corbeels, M., Scopel, E., Affholder, F.","57198845447;23009293100;6602647936;6508110946;6603144833;","Impact of conservation agriculture on the agronomic and environmental performances of maize cropping under contrasting climatic conditions of the Brazilian Cerrado",2019,"Field Crops Research","230",,,"72","83",,6,"10.1016/j.fcr.2018.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055730740&doi=10.1016%2fj.fcr.2018.10.009&partnerID=40&md5=72d1ef0d70f5b559cdc74acd82ee2d5e",Article,"Final","",Scopus,2-s2.0-85055730740
"Mohammed, G., Trolard, F., Gillon, M., Cognard-Plancq, A.-L., Chanzy, A., Bourrié, G.","55390156500;6603720697;26639240500;6506287153;7004306869;6701441872;","Combination of a crop model and a geochemical model as a new approach to evaluate the sustainability of an intensive agriculture system",2017,"Science of the Total Environment","595",,,"119","131",,6,"10.1016/j.scitotenv.2017.03.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016772087&doi=10.1016%2fj.scitotenv.2017.03.146&partnerID=40&md5=695d9f64e397d7c9a5ddb257594557a4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85016772087
"Bergez, J.-E., Charron, M.-H., Leenhardt, D., Poupa, J.-C.","6603865785;54893736900;6602700901;50661920600;","MO USTICS: A generic dynamic plot-based biodecisional model",2012,"Computers and Electronics in Agriculture","82",,,"8","14",,6,"10.1016/j.compag.2011.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855814135&doi=10.1016%2fj.compag.2011.12.006&partnerID=40&md5=69a5d63066b5688bc2a0fd3b17a09a38",Article,"Final","",Scopus,2-s2.0-84855814135
"Tournebize, J., Kao, C., Nikolic, N., Zimmer, D.","12446001600;14421251200;7004381407;7006650629;","Adaptation of the STICS model to subsurface drained soils",2004,"Agronomie","24","6-7",,"305","313",,6,"10.1051/agro:2004030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9244249876&doi=10.1051%2fagro%3a2004030&partnerID=40&md5=49ce240c3c2429bdada0b59416a1966c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-9244249876
"Guinet, M., Nicolardot, B., Voisin, A.-S.","55871876700;55921632000;6701512366;","Nitrogen benefits of ten legume pre-crops for wheat assessed by field measurements and modelling",2020,"European Journal of Agronomy","120",,"126151","","",,7,"10.1016/j.eja.2020.126151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089541527&doi=10.1016%2fj.eja.2020.126151&partnerID=40&md5=80deb8afc7833f0b0baa28fa96253e49",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089541527
"Lamichhane, J.R., Constantin, J., Aubertot, J.-N., Dürr, C.","36027402900;26321290000;6602514849;56229033800;","Will climate change affect sugar beet establishment of the 21st century? Insights from a simulation study using a crop emergence model",2019,"Field Crops Research","238",,,"64","73",,7,"10.1016/j.fcr.2019.04.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065188077&doi=10.1016%2fj.fcr.2019.04.022&partnerID=40&md5=1e41691f11d023a5b6d0a23359e0cbc0",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85065188077
"Bécel, C., Munier-Jolain, N.M., Nicolardot, B.","57607095600;6701507655;55921632000;","Assessing nitrate leaching in cropping systems based on integrated weed management using the STICS soil-crop model",2015,"European Journal of Agronomy","62",,,"46","54",,7,"10.1016/j.eja.2014.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907882546&doi=10.1016%2fj.eja.2014.09.005&partnerID=40&md5=90b18bdf26e437b3cecaa8f681d2c864",Article,"Final","",Scopus,2-s2.0-84907882546
"Valdés-Gómez, H., Gary, C., Brisson, N., Matus, F.","23989626900;7006855206;7005033261;23489306300;","Modelling indeterminate development, dry matter partitioning and the effect of nitrogen supply in tomato with the generic STICS crop-soil model",2014,"Scientia Horticulturae","175",,,"44","56",,7,"10.1016/j.scienta.2014.05.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902603226&doi=10.1016%2fj.scienta.2014.05.030&partnerID=40&md5=5608ad7a71d674a52e2aed34b187de62",Article,"Final","",Scopus,2-s2.0-84902603226
"Ma, S., Acutis, M., Barcza, Z., Touhami, H.B., Doro, L., Hidy, D., Köchy, M., Minet, J., Lellei-Kovács, E., Perego, A., Rolinski, S., Ruget, F., Seddaiu, G., Wu, L., Bellocchi, G.","23389689400;6603648540;6508134227;55815497300;55324450200;16316061700;57197752993;56425770900;24537519800;26634201100;8643362200;6602167020;23499363900;56553460700;6602583599;","The grassland model intercomparison of the MACSUR (Modelling European Agriculture with Climate Change for Food Security) European knowledge hub",2014,"Proceedings - 7th International Congress on Environmental Modelling and Software: Bold Visions for Environmental Modeling, iEMSs 2014","4",,,"2218","2225",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911887048&partnerID=40&md5=a2d9f4591eacc98509629e0beda8987d",Conference Paper,"Final","",Scopus,2-s2.0-84911887048
"Duchene, O., Dumont, B., Cattani, D.J., Fagnant, L., Schlautman, B., DeHaan, L.R., Barriball, S., Jungers, J.M., Picasso, V.D., David, C., Celette, F.","57193416880;15076747400;7003519516;57221845305;55973552200;6603007835;57201058469;55931687300;23490126100;55808991900;9737272700;","Process-based analysis of Thinopyrum intermedium phenological development highlights the importance of dual induction for reproductive growth and agronomic performance",2021,"Agricultural and Forest Meteorology","301-302",,"108341","","",,8,"10.1016/j.agrformet.2021.108341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100428565&doi=10.1016%2fj.agrformet.2021.108341&partnerID=40&md5=eeec5c8d45590d21b3b2256e7dd10787",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100428565
"Ben Fradj, N., Jayet, P.A., Rozakis, S., Georganta, E., Jędrejek, A.","57044676000;6603173511;22951629100;57217259551;57201773866;","Contribution of agricultural systems to the bioeconomy in Poland: Integration of willow in the context of a stylised CAP diversification",2020,"Land Use Policy","99",,"104797","","",,8,"10.1016/j.landusepol.2020.104797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086907524&doi=10.1016%2fj.landusepol.2020.104797&partnerID=40&md5=3b67dd15988c972644cd59226047838d",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85086907524
"Mesbah, M., Pattey, E., Jégo, G., Didier, A., Geng, X., Tremblay, N., Zhang, F.","57197708675;7003533081;23767941600;57198121668;36021347800;35549292300;57202512056;","New model-based insights for strategic nitrogen recommendations adapted to given soil and climate",2018,"Agronomy for Sustainable Development","38","4","36","","",,8,"10.1007/s13593-018-0505-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048612316&doi=10.1007%2fs13593-018-0505-7&partnerID=40&md5=ed10df3421c9b07f27209e7bfd6e1b2d",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85048612316
"Yang, C., Fraga, H., Van Ieperen, W., Santos, J.A.","57193260079;57188959456;6603324108;56157920300;","Modelling climate change impacts on early and late harvest grassland systems in Portugal",2018,"Crop and Pasture Science","69","8",,"821","836",,8,"10.1071/CP17428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051249718&doi=10.1071%2fCP17428&partnerID=40&md5=4eec5debba38bef8aaa657d821af8c09",Article,"Final","",Scopus,2-s2.0-85051249718
"Artru, S., Dumont, B., Ruget, F., Launay, M., Ripoche, D., Lassois, L., Garré, S.","57192103929;15076747400;6602167020;7004401754;6507647940;23973154100;26633808900;","How does STICS crop model simulate crop growth and productivity under shade conditions?",2018,"Field Crops Research","215",,,"83","93",,8,"10.1016/j.fcr.2017.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033602575&doi=10.1016%2fj.fcr.2017.10.005&partnerID=40&md5=469234af84010da5d4049b13d0935218",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85033602575
"Vuichard, N., Ciais, P., Viovy, N., Li, L., Ceschia, E., Wattenbach, M., Bernhofer, C., Emmel, C., Grünwald, T., Jans, W., Loubet, B., Wu, X.","16403683500;55399842300;57192414605;12039396200;15062214600;12244125000;6603757959;36132717000;7003717139;14063186600;6603582009;15770429100;","Simulating the net ecosystem CO2 exchange and its components over winter wheat cultivation sites across a large climate gradient in Europe using the ORCHIDEE-STICS generic model",2016,"Agriculture, Ecosystems and Environment","226",,,"1","17",,8,"10.1016/j.agee.2016.04.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965071419&doi=10.1016%2fj.agee.2016.04.017&partnerID=40&md5=3eb4204ca34b49358a51386cc5b37bab",Article,"Final","",Scopus,2-s2.0-84965071419
"Büchi, L., Valsangiacomo, A., Burel, E., Charles, R.","12766846600;56548895700;56965076600;57203652466;","Integrating simulation data from a crop model in the development of an agri-environmental indicator for soil cover in Switzerland",2016,"European Journal of Agronomy","76",,,"149","159",,8,"10.1016/j.eja.2015.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947340616&doi=10.1016%2fj.eja.2015.11.004&partnerID=40&md5=67396aa81dfae2beb240ccb2d34573ac",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84947340616
"Singh, A.K., Madramootoo, C.A., Goyal, M.K., Smith, D.L.","57199212216;7005854414;23004282800;7410354695;","Corn yield simulation using the STICS model under varying nitrogen management and climate-change scenarios",2014,"Journal of Irrigation and Drainage Engineering","140","4","04013023","","",,8,"10.1061/(ASCE)IR.1943-4774.0000682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896279046&doi=10.1061%2f%28ASCE%29IR.1943-4774.0000682&partnerID=40&md5=88b24082a0d52be9d8f8943e6e1622ee",Article,"Final","",Scopus,2-s2.0-84896279046
"Talbot, G., Roux, S., Graves, A., Dupraz, C., Marrou, H., Wery, J.","38362212100;57192438889;9235703200;7003728446;38362166200;7005591875;","Relative yield decomposition: A method for understanding the behaviour of complex crop models",2014,"Environmental Modelling and Software","51",,,"136","148",,8,"10.1016/j.envsoft.2013.09.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886308629&doi=10.1016%2fj.envsoft.2013.09.017&partnerID=40&md5=e8e0050d3c14e185814815027fbbb22d",Article,"Final","",Scopus,2-s2.0-84886308629
"Courault, D., Ruget, F.","6603818863;6602167020;","Impact of local climate variability on crop model estimates in the south-east of France",2001,"Climate Research","18","3",,"195","204",,8,"10.3354/cr018195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035798589&doi=10.3354%2fcr018195&partnerID=40&md5=92bb91bce7ca0922e36e80782746d44c",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-0035798589
"Ellili-Bargaoui, Y., Walter, C., Lemercier, B., Michot, D.","57210889592;7202108597;24331870600;7801384311;","Assessment of six soil ecosystem services by coupling simulation modelling and field measurement of soil properties",2021,"Ecological Indicators","121",,"107211","","",,9,"10.1016/j.ecolind.2020.107211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097524962&doi=10.1016%2fj.ecolind.2020.107211&partnerID=40&md5=ed279958eae06f12dba679aefcaa7ce2",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85097524962
"Bounaffaa, M., Florio, A., Le Roux, X., Jayet, P.-A.","57197834501;54914436200;57519640800;6603173511;","Economic and Environmental Analysis of Maize Inoculation by Plant Growth Promoting Rhizobacteria in the French Rhône-Alpes Region",2018,"Ecological Economics","146",,,"334","346",,9,"10.1016/j.ecolecon.2017.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035138845&doi=10.1016%2fj.ecolecon.2017.11.009&partnerID=40&md5=5907860a4f775d27d6e153ce79a9a884",Article,"Final","",Scopus,2-s2.0-85035138845
"Demestihas, C., Plénet, D., Génard, M., Garcia de Cortazar-Atauri, I., Launay, M., Ripoche, D., Beaudoin, N., Simon, S., Charreyron, M., Raynal, C., Lescourret, F.","57193835269;56052869200;7003761739;26321066600;7004401754;6507647940;15071436000;16508114500;57200621290;57193828640;7003943634;","Analyzing ecosystem services in apple orchards using the STICS model",2018,"European Journal of Agronomy","94",,,"108","119",,9,"10.1016/j.eja.2018.01.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041928625&doi=10.1016%2fj.eja.2018.01.009&partnerID=40&md5=5c890319592444faaf1ea16f30e8475c",Article,"Final","",Scopus,2-s2.0-85041928625
"Perrin, A., Basset-Mens, C., Huat, J., Gabrielle, B.","56041538900;8731380700;21740730800;6603049348;","The variability of field emissions is critical to assessing the environmental impacts of vegetables: A Benin case-study",2017,"Journal of Cleaner Production","153",,,"104","113",,9,"10.1016/j.jclepro.2017.03.159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018353336&doi=10.1016%2fj.jclepro.2017.03.159&partnerID=40&md5=9e6ff39937c5daedefa42a02e99a1c6a",Article,"Final","",Scopus,2-s2.0-85018353336
"Jing, Q., Huffman, T., Shang, J., Liu, J., Pattey, E., Morrison, M., Jégo, G., Qian, B.","7006138915;55946240700;10144065500;8245255400;7003533081;7201675270;23767941600;7102420657;","Modelling soybean yield responses to seeding date under projected climate change scenarios",2017,"Canadian Journal of Plant Science","97","6",,"1152","1164",,9,"10.1139/cjps-2017-0065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037045223&doi=10.1139%2fcjps-2017-0065&partnerID=40&md5=836c04aaf390b45e261a0aa43ec450dd",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85037045223
"Mansouri, M., Dumont, B., Leemans, V., Destain, M.-F.","7004271836;15076747400;6602403778;6602395320;","Bayesian methods for predicting LAI and soil water content",2014,"Precision Agriculture","15","2",,"184","201",,9,"10.1007/s11119-013-9332-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896853720&doi=10.1007%2fs11119-013-9332-7&partnerID=40&md5=87f43f48f22b4a812d16ddee4c9cf5b1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84896853720
"Leroy, P., Smits, N., Cartolaro, P., Delière, L., Goutouly, J.-P., Raynal, M., Alonso Ugaglia, A.","57225394546;7004032728;25821800100;6504340577;6508137535;56884059800;55934744700;","A bioeconomic model of downy mildew damage on grapevine for evaluation of control strategies",2013,"Crop Protection","53",,,"58","71",,9,"10.1016/j.cropro.2013.05.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880377723&doi=10.1016%2fj.cropro.2013.05.024&partnerID=40&md5=f0be849ece42a9b0bee1dae38764f190",Article,"Final","",Scopus,2-s2.0-84880377723
"Duchemin, B., Hadria, R., Rodriguez, J.-C., Lahrouni, A., Khabba, S., Boulet, G., Mougenot, B., Maisongrande, P., Watts, C.","57203531598;6507578688;7404696407;6506465558;6507267312;6603909149;36004807700;6602991332;7202527347;","Spatialisation of a Crop Model using Phenology derived from Remote Sensing Data",2003,"International Geoscience and Remote Sensing Symposium (IGARSS)","4",,,"2200","2202",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242541784&partnerID=40&md5=f2673b3d30bcf7aa8d5d49800138bec2",Conference Paper,"Final","",Scopus,2-s2.0-0242541784
"Yin, X., Kersebaum, K.-C., Beaudoin, N., Constantin, J., Chen, F., Louarn, G., Manevski, K., Hoffmann, M., Kollas, C., Armas-Herrera, C.M., Baby, S., Bindi, M., Dibari, C., Ferchaud, F., Ferrise, R., de Cortazar-Atauri, I.G., Launay, M., Mary, B., Moriondo, M., Öztürk, I., Ruget, F., Sharif, B., Wachter-Ripoche, D., Olesen, J.E.","54407521400;6602075951;15071436000;26321290000;57202085205;24605164500;55165394100;56785023200;27867811000;14059720200;57188740722;56231867700;37088285000;16554673200;35746015200;57191626975;7004401754;56235628300;55932484200;36028350800;6602167020;56785548500;57217050636;57203030850;","Uncertainties in simulating N uptake, net N mineralization, soil mineral N and N leaching in European crop rotations using process-based models",2020,"Field Crops Research","255",,"107863","","",,10,"10.1016/j.fcr.2020.107863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085914308&doi=10.1016%2fj.fcr.2020.107863&partnerID=40&md5=53493ba11e5f83e766859ea82d6a96c0",Article,"Final","",Scopus,2-s2.0-85085914308
"Korhonen, P., Palosuo, T., Persson, T., Höglind, M., Jégo, G., Van Oijen, M., Gustavsson, A.-M., Bélanger, G., Virkajärvi, P.","57188591598;16029350000;55391477500;26536023500;23767941600;7004927679;7007041477;55584175400;6602535331;","Modelling grass yields in northern climates – a comparison of three growth models for timothy",2018,"Field Crops Research","224",,,"37","47",,10,"10.1016/j.fcr.2018.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046648213&doi=10.1016%2fj.fcr.2018.04.014&partnerID=40&md5=2c44acbfe11b4433a17778d4191693d6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85046648213
"Ahmed, M., Stöckle, C.O., Nelson, R., Higgins, S.","36631583300;57204340016;55451979000;7203087474;","Assessment of climate change and atmospheric CO2 impact on winter wheat in the Pacific Northwest using a multimodel ensemble",2017,"Frontiers in Ecology and Evolution","5","MAY",,"","",,10,"10.3389/fevo.2017.00051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031675009&doi=10.3389%2ffevo.2017.00051&partnerID=40&md5=19d90b1d9d4e6a422d38ce522ed66442",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85031675009
"Jing, Q., Jégo, G., Bélanger, G., Chantigny, M.H., Rochette, P.","7006138915;23767941600;55584175400;6603601520;7006811223;","Simulation of water and nitrogen balances in a perennial forage system using the STICS model",2017,"Field Crops Research","201",,,"10","18",,10,"10.1016/j.fcr.2016.10.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993965464&doi=10.1016%2fj.fcr.2016.10.017&partnerID=40&md5=48abed8b3c63c0e6d2380f047749335c",Article,"Final","",Scopus,2-s2.0-84993965464
"Jégo, G., Pattey, E., Morteza Mesbah, S., Liu, J., Duchesne, I.","23767941600;7003533081;55907049000;8245255400;57212087224;","Impact of the spatial resolution of climatic data and soil physical properties on regional corn yield predictions using the STICS crop model",2015,"International Journal of Applied Earth Observation and Geoinformation","41",,,"11","22",,10,"10.1016/j.jag.2015.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943600559&doi=10.1016%2fj.jag.2015.04.013&partnerID=40&md5=20667aea4050babac03144f0d1fcb09a",Article,"Final","",Scopus,2-s2.0-84943600559
"Valade, A., Vuichard, N., Ciais, P., Ruget, F., Viovy, N., Gabrielle, B., Huth, N., Martiné, J.-F.","55682540300;16403683500;55399842300;6602167020;57192414605;6603049348;7801568308;8113184800;","ORCHIDEE-STICS, a process-based model of sugarcane biomass production: Calibration of model parameters governing phenology",2014,"GCB Bioenergy","6","5",,"606","620",,10,"10.1111/gcbb.12074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905398560&doi=10.1111%2fgcbb.12074&partnerID=40&md5=367f0d2e94a50b3ff701df4fdf8a01f8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84905398560
"Ruget, F., Clastre, P., Moreau, J.-C., Cloppet, E., Souverain, F., Lacroix, B., Lorgeou, J.","6602167020;6506026321;57040495200;6505689836;54894476200;7004069031;6506244248;","Possible consequences of climate changes on forage production in France. I. Estimation based on modelization and critical analysis [Conséquences possibles des changements climatiques sur la production fourragère en France. I. Estimation par modélisation et analyse critique]",2012,"Fourrages","2012","210",,"87","98",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050100237&partnerID=40&md5=cab20c7bc7434eb40b47cae882c8ea31",Article,"Final","",Scopus,2-s2.0-85050100237
"Ruiz-Ramos, M., Gabriel, J.L., Vazquez, N., Quemada, M.","12753040900;37037213700;8579149800;56109976200;","Evaluation of nitrate leaching in a vulnerable zone: Effect of irrigation water and organic manure application [Lavado de nitratos en una zona vulnerable: Efectos del agua de riego y de la aplicación de abono orgánico]",2011,"Spanish Journal of Agricultural Research","9","3",,"924","937",,10,"10.5424/sjar/20110903-237-10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052732819&doi=10.5424%2fsjar%2f20110903-237-10&partnerID=40&md5=d38cbad3a7f1c2626fcd232f1805eb52",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-80052732819
"Olioso, A., Inoue, Y., Wigneron, J.-P., Ortega-Farias, S., Lecharpentier, P., Pardé, M., Calvet, J.-C., Inizan, O.","56248682700;36040381300;7005692975;6603288395;6506565542;6507217097;35576383300;6506286321;","Using a coupled crop-SVAT model to assess crop canopy processes from remote sensing data",2001,"International Geoscience and Remote Sensing Symposium (IGARSS)","7",,,"3006","3008",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035572227&partnerID=40&md5=5a8f6708c7538991f4e5d3978cb7553f",Conference Paper,"Final","",Scopus,2-s2.0-0035572227
"Vilvert, E., Lana, M., Zander, P., Sieber, S.","57188871038;35219071400;6603131907;24778929900;","Multi-model approach for assessing the sunflower food value chain in Tanzania",2018,"Agricultural Systems","159",,,"103","110",,11,"10.1016/j.agsy.2017.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032992562&doi=10.1016%2fj.agsy.2017.10.014&partnerID=40&md5=afe247f8a556c0d62fc7a60dff8e26cb",Article,"Final","",Scopus,2-s2.0-85032992562
"Peyrard, C., Ferchaud, F., Mary, B., Gréhan, E., Léonard, J.","55758813000;16554673200;56235628300;21740768600;7402282845;","Management Practices of Miscanthus × giganteus Strongly Influence Soil Properties and N2O Emissions Over the Long Term",2017,"Bioenergy Research","10","1",,"208","224",,11,"10.1007/s12155-016-9796-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989170538&doi=10.1007%2fs12155-016-9796-1&partnerID=40&md5=fb575c8c1874ad554e643e86222a4f89",Article,"Final","",Scopus,2-s2.0-84989170538
"Lammoglia, S.-K., Makowski, D., Moeys, J., Justes, E., Barriuso, E., Mamy, L.","57189364250;6603950439;11238835800;6603057433;7004023960;23667821000;","Sensitivity analysis of the STICS-MACRO model to identify cropping practices reducing pesticides losses",2017,"Science of the Total Environment","580",,,"117","129",,11,"10.1016/j.scitotenv.2016.10.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008177624&doi=10.1016%2fj.scitotenv.2016.10.010&partnerID=40&md5=eb5189956e2b3900799dc8442cc9238c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85008177624
"Buis, S., Wallach, D., Guillaume, S., Varella, H., Lecharpentier, P., Launay, M., Guérif, M., Bergez, J.-E., Justes, E.","11839198600;7202035015;54388381600;34968726300;6506565542;7004401754;6701782386;6603865785;6603057433;","The STICS crop model and associated software for analysis, parameterization, and evaluation",2015,"Methods of Introducing System Models into Agricultural Research","2",,,"395","426",,11,"10.2134/advagricsystmodel2.c14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102442011&doi=10.2134%2fadvagricsystmodel2.c14&partnerID=40&md5=3674d5c95c8f0d68444d287d677a8c5e",Book Chapter,"Final","",Scopus,2-s2.0-85102442011
"Valade, A., Ciais, P., Vuichard, N., Viovy, N., Caubel, A., Huth, N., Marin, F., Martiné, J.-F.","55682540300;55399842300;16403683500;57192414605;35271389900;7801568308;7103141222;8113184800;","Modeling sugarcane yield with a process-based model from site to continental scale: Uncertainties arising from model structure and parameter values",2014,"Geoscientific Model Development","7","3",,"1225","1245",,11,"10.5194/gmd-7-1225-2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903603640&doi=10.5194%2fgmd-7-1225-2014&partnerID=40&md5=e12384f109e862fa325f9979aa02fefc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84903603640
"Ma, S., Churkina, G., Wieland, R., Gessler, A.","23389689400;6603251603;12039168400;7004656290;","Optimization and evaluation of the ANTHRO-BGC model for winter crops in Europe",2011,"Ecological Modelling","222","20-22",,"3662","3679",,11,"10.1016/j.ecolmodel.2011.08.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054092462&doi=10.1016%2fj.ecolmodel.2011.08.025&partnerID=40&md5=0051e0b25d6f3c06b658cd0c5ebffd8f",Article,"Final","",Scopus,2-s2.0-80054092462
"Launay, M., Graux, A.-I., Brisson, N., Guerif, M.","7004401754;35366144000;7005033261;6701782386;","Carbohydrate remobilization from storage root to leaves after a stress release in sugar beet (Beta vulgaris L.): Experimental and modelling approaches",2009,"Journal of Agricultural Science","147","6",,"669","682",,11,"10.1017/S0021859609990116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74149094930&doi=10.1017%2fS0021859609990116&partnerID=40&md5=7081dc8312c8dba662c43cd26481c16b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-74149094930
"Brisson, N., Ozier-Lafontaine, H., Dorel, M.","7005033261;57204221039;6603217484;","Effects of soil management and water regime on banana growth between planting and flowering. Simulation using the stics model",1998,"Acta Horticulturae","490",,,"229","238",,11,"10.17660/ActaHortic.1998.490.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879215620&doi=10.17660%2fActaHortic.1998.490.23&partnerID=40&md5=fa2626e5d0df50171fb7795f758b581b",Article,"Final","",Scopus,2-s2.0-84879215620
"Tenreiro, T.R., García-Vila, M., Gómez, J.A., Jimenez-Berni, J.A., Fereres, E.","57217044345;23481609700;55716835600;25958887600;7003918048;","Water modelling approaches and opportunities to simulate spatial water variations at crop field level",2020,"Agricultural Water Management","240",,"106254","","",,12,"10.1016/j.agwat.2020.106254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085936822&doi=10.1016%2fj.agwat.2020.106254&partnerID=40&md5=150bb92edb3eef89785284858920cdd8",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85085936822
"Yang, C., Fraga, H., van Ieperen, W., Santos, J.A.","57193260079;57188959456;6603324108;56157920300;","Assessing the impacts of recent-past climatic constraints on potential wheat yield and adaptation options under Mediterranean climate in southern Portugal",2020,"Agricultural Systems","182",,"102844","","",,12,"10.1016/j.agsy.2020.102844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083835453&doi=10.1016%2fj.agsy.2020.102844&partnerID=40&md5=b6ea54347ea473f4ff5c455c7dc829a8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85083835453
"Falconnier, G.N., Journet, E.-P., Bedoussac, L., Vermue, A., Chlébowski, F., Beaudoin, N., Justes, E.","55366010400;6603583689;35773103400;55773949900;57205513098;15071436000;6603057433;","Calibration and evaluation of the STICS soil-crop model for faba bean to explain variability in yield and N 2 fixation",2019,"European Journal of Agronomy","104",,,"63","77",,12,"10.1016/j.eja.2019.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060347359&doi=10.1016%2fj.eja.2019.01.001&partnerID=40&md5=5e523047ae3eee58cb15f022c2b8193c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85060347359
